96-124,Maków
96-126,Godzianów
96-127,Lipce Reymontowskie
96-128,Słupia
96-130,Głuchów
96-200,Rawa Mazowiecka
96-201,Rawa Mazowiecka
96-206,Sadkowice
96-208,Lubania
96-214,Cielądz
96-230,Biała Rawska
96-232,Regnów
96-300,Żyrardów
96-301,Żyrardów
96-302,Żyrardów
96-304,Żyrardów
96-313,Jaktorów
96-314,Baranów
96-315,Wiskitki
96-316,Międzyborów
96-317,Guzów
96-320,Mszczonów
96-321,Żabia Wola
96-323,Osuchów
96-325,Radziejowice
96-330,Puszcza Mariańska
96-332,Radziwiłłów
96-500,Sochaczew
96-501,Sochaczew
96-503,Sochaczew
96-505,Sochaczew
96-512,Młodzieszyn
96-513,Nowa Sucha
96-514,Rybno
96-515,Teresin
96-516,Szymanów
96-520,Iłów
96-521,Brzozów Nowy
97-200,Tomaszów Mazowiecki
97-201,Tomaszów Mazowiecki
97-203,Tomaszów Mazowiecki
97-204,Tomaszów Mazowiecki
97-212,Budziszewice
97-213,Smardzewice
97-215,Inowłódz
97-216,Czerniewice
97-217,Lubochnia
97-220,Rzeczyca
97-221,Rokiciny
97-225,Ujazd
97-226,Żelechlinek
97-280,Tomaszów Mazowiecki
97-300,Piotrków Trybunalski
97-301,Piotrków Trybunalski
97-302,Piotrków Trybunalski
97-306,Grabica
97-308,Piotrków Trybunalski
97-309,Piotrków Trybunalski
97-310,Moszczenica
97-312,Piotrków Trybunalski
97-318,Czarnocin
97-319,Będków
97-320,Wolbórz
97-330,Sulejów
97-340,Rozprza
97-350,Gorzkowice
97-352,Łęki Szlacheckie
97-360,Kamieńsk
97-371,Wola Krzysztoporska
97-400,Bełchatów
97-403,Drużbice
97-406,Bełchatów
97-407,Bełchatów
97-408,Bełchatów
97-409,Bełchatów
97-410,Kleszczów
97-413,Bełchatów
97-415,Kluki
97-420,Szczerców
97-425,Zelów
97-427,Rogowiec
97-438,Rusiec
97-500,Radomsko
97-501,Radomsko
97-503,Radomsko
97-504,Radomsko
97-505,Dobryszyce
97-510,Ręczno
97-512,Kodrąb
97-515,Masłowice
97-524,Kobiele Wielkie
97-525,Wielgomłyny
97-532,Żytno
97-540,Gidle
97-545,Gomunice
97-561,Ładzice
97-565,Lgota Wielka
97-570,Przedbórz
98-100,Łask
98-105,Wodzierady
98-113,Buczek
98-160,Sędziejowice
98-161,Zapolice
98-170,Widawa
98-200,Sieradz
98-202,Sieradz
98-204,Sieradz
98-209,Sieradz
98-210,Sieradz
98-215,Goszczanów
98-220,Zduńska Wola
98-230,Zduńska Wola
98-231,Zduńska Wola
98-235,Błaszki
98-240,Szadek
98-260,Burzenin
98-270,Złoczew
98-273,Klonowa
98-275,Brzeźnio
98-277,Brąszewice
98-285,Wróblew
98-290,Warta
98-300,Wieluń
98-303,Wieluń
98-305,Wieluń
98-310,Czarnożyły
98-311,Ostrówek
98-313,Konopnica
98-320,Osjaków
98-324,Wierzchlas
98-330,Pajęczno
98-331,Nowa Brzeźnica
98-332,Rząśnia
98-335,Pątnów
98-337,Strzelce Wielkie
98-338,Sulmierzyce
98-345,Mokrsko
98-346,Skomlin
98-350,Biała Druga
98-354,Siemkowice
98-355,Działoszyn
98-358,Kiełczygłów
98-360,Lututów
98-400,Wieruszów
98-405,Galewice
98-410,Czastary
98-420,Sokolniki
98-430,Bolesławiec
98-432,Łubnice
99-100,Łęczyca
99-101,Łęczyca
99-104,Siedlec
99-105,Mazew
99-106,Sobótka
99-107,Daszyna
99-120,Piątek
99-122,Góra Świętej Małgorzaty
99-140,Świnice Warckie
99-150,Grabów
99-151,Błonie
99-200,Poddębice
99-205,Dalików
99-207,Niemysłów
99-210,Uniejów
99-220,Wartkowice
99-232,Zadzim
99-235,Pęczniew
99-300,Kutno
99-301,Kutno
99-302,Kutno
99-306,Łanięta
99-307,Strzelce
99-308,Kaszewy Kościelne
99-310,Kutno
99-311,Bedlno
99-312,Plecka Dąbrowa
99-313,Załusin
99-314,Krzyżanów
99-316,Mirosławice
99-319,Dobrzelin
99-320,Żychlin
99-322,Oporów
99-323,Mnich
99-331,Byszew
99-332,Wysoka Wielka
99-333,Nowe
99-335,Witonia
99-340,Krośniewice
99-350,Ostrowy
99-352,Dąbrowice
99-400,Łowicz
99-401,Łowicz
99-402,Łowicz
99-412,Kiernozia
99-413,Chąśno
99-414,Kocierzew
99-416,Nieborów
99-417,Bolimów
99-418,Bełchów
99-420,Łyszkowice
99-423,Bielawy
99-434,Domaniewice
99-440,Zduny
